"tool_type","loans","completed_loans","total_daysout","avg_loan_length"
"Wonder Bar","38","38","280","7.37"
"Allen Wrench Sets","6","6","48","8"
"Basin Wrench","1","1","5","5"
"Adjustable Wrench","20","20","128","6.4"
"Back Saws","19","19","144","7.58"
"Crosscut Saws","41","41","490","11.96"
"Drywall Saws","27","27","175","6.49"
"Key Hole Saws","9","9","66","7.34"
"Manual Mutt Scraper","1","1","5","5"
"Paint Scraper","15","15","83","5.54"
"Flat Screwdrivers","6","6","28","4.67"
"Phillips Screwdrivers","31","31","182","5.88"
"Torx Screwdrivers","2","2","8","4"
"Screwdriver Sets","1","1","3","3"
"Grass Shears","27","27","148","5.49"
"Digging Fork","82","82","551","6.72"
"Roofing Shovel","8","8","56","7"
"Snow Shovel","27","27","133","4.93"
"Manual Staple Guns","48","48","445","9.28"
"Circuit Testers","8","8","70","8.75"
"Voltage Tester","8","8","60","7.5"
"Hand Tile Cutter","15","15","103","6.87"
"Tile Nipper","15","15","96","6.4"
"Manual Hedge Trimmers","41","40","384","9.6"
"Float","32","32","242","7.57"
"Roto Zip","1","1","5","5"
"Wheelbarrow","173","173","1156","6.69"
"Drill Press Clamps","5","5","37","7.4"
"Angle Grinders","69","69","424","6.15"
"Lighting","14","14","128","9.15"
"Hanging Lights","12","12","262","21.84"
"Standing Work Lights","2","2","12","6"
"Safety Equipment","5","5","37","7.4"
"Compound Miter Saw","123","123","639","5.2"
"Electric Concrete Stirrers","17","17","143","8.42"
"Vises","14","14","105","7.5"
"Drywall Tools","43","43","313","7.28"
"Joint Knives","9","9","92","10.23"
"Taping Knives","45","45","320","7.12"
"Pruning Shears","74","74","547","7.4"
"Fruit Pickers","65","65","758","11.67"
"Fish Tapes","29","29","187","6.45"
"Wire Strippers","9","9","57","6.34"
"Rebar Cutters & Benders","8","7","66","9.43"
"Kids & Baby","18","18","294","16.34"
"Drill Bits","1","1","7","7"
"Steel Rake","51","51","575","11.28"
"Leaf Rake","105","105","841","8.01"
"Weeding Rake","10","10","57","5.7"
"Garden Tools","22","22","112","5.1"
"Broad Forks","18","18","115","6.39"
"Pressure Washer Attachments","101","101","800","7.93"
"Locking Pliers","2","2","16","8"
"Framing Hammers","1","1","42","42"
"Tack Hammers","1","1","7","7"
"Garden Hoses","9","9","235","26.12"
"Miter Saw Blades","28","28","166","5.93"
"Cordless Tool Batteries","256","256","1774","6.93"
"Flooring Tools","3","3","25","8.34"
"Wire Brushes","1","1","7","7"
"Power Tool Accessories","11","11","80","7.28"
