txn_id,post_date,account_id,applicant_id,slip_id,basin,rate_class,txn_type,length_ft_billed,months_billed,foot_months,rate_per_foot_month,amount,tax_amount,total_amount,payment_status,due_date,paid_date,notes
TXN-202201-024054,2022-01-01,AC-VB-0719,WL-01748,VB-0719,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,9.85,315.2,40.47,355.67,PAID,2022-01-15,2022-01-24,
TXN-202201-024055,2022-01-01,AC-VB-0719,WL-01748,VB-0719,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,98.07,12.59,110.66,PAID,2022-01-15,2022-01-24,metered
TXN-202201-025517,2022-01-01,AC-VB-0820,WL-01842,VB-0820,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,PAID,2022-01-15,2022-01-11,
TXN-202201-025780,2022-01-01,AC-VB-0901,WL-02650,VB-0901,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,47,1,47,9.85,462.95,59.44,522.39,PAID,2022-01-15,2022-01-15,
TXN-202201-025973,2022-01-01,AC-VB-0904,WL-02354,VB-0904,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,57,1,57,9.85,561.45,72.09,633.54,PAID,2022-01-15,2022-01-23,
TXN-202201-025974,2022-01-01,AC-VB-0904,WL-02354,VB-0904,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,88.11,11.31,99.42,PAID,2022-01-15,2022-01-23,metered
TXN-202201-026584,2022-01-01,AC-VB-0914,WL-02950,VB-0914,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-01-15,2022-01-12,
TXN-202201-027912,2022-01-01,AC-VB-1014,WL-02188,VB-1014,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-01-15,2022-01-13,
TXN-202201-028295,2022-01-01,AC-VB-1020,WL-02112,VB-1020,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,OPEN,2022-01-15,,
TXN-202201-030305,2022-01-01,AC-EW-0204,WL-01545,EW-0204,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,7.1,284.0,36.47,320.47,PAID,2022-01-15,2022-01-26,
TXN-202201-030582,2022-01-01,AC-EW-0209,WL-02673,EW-0209,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,7.1,255.6,32.82,288.42,PAID,2022-01-15,2022-01-25,
TXN-202201-030583,2022-01-01,AC-EW-0209,WL-02673,EW-0209,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,36.51,4.69,41.2,PAID,2022-01-15,2022-01-25,metered
TXN-202201-030795,2022-01-01,AC-EW-0212,WL-01589,EW-0212,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,7.1,227.2,29.17,256.37,PAID,2022-01-15,2022-01-03,
TXN-202201-033167,2022-01-01,AC-EW-0409,WL-01264,EW-0409,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,70,1,70,7.1,497.0,63.81,560.81,PAID,2022-01-15,2022-01-10,
TXN-202201-035101,2022-01-01,AC-EW-0519,WL-01765,EW-0519,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,54,1,54,7.1,383.4,49.23,432.63,PAID,2022-01-15,2022-01-27,
TXN-202201-040959,2022-01-01,AC-EW-1011,WL-03465,EW-1011,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,41,1,41,7.1,291.1,37.38,328.48,PAID,2022-01-15,2022-01-10,
TXN-202201-042153,2022-01-01,AC-GW-0111,WL-03229,GW-0111,Gullwing,NON_COMM_MONTHLY,MONTHLY_MOORAGE,60,1,60,7.1,426.0,54.7,480.7,PAID,2022-01-15,2022-01-12,
TXN-202201-042800,2022-01-01,AC-GW-0121,WL-01763,GW-0121,Gullwing,NON_COMM_MONTHLY,MONTHLY_MOORAGE,41,1,41,7.1,291.1,37.38,328.48,PAID,2022-01-15,2022-01-09,
TXN-202201-044783,2022-01-01,AC-GW-0310,WL-03315,GW-0310,Gullwing,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,7.1,255.6,32.82,288.42,PAID,2022-01-15,2022-01-18,
TXN-202201-046798,2022-01-01,AC-GW-0502,WL-03559,GW-0502,Gullwing,NON_COMM_MONTHLY,MONTHLY_MOORAGE,60,1,60,7.1,426.0,54.7,480.7,PAID,2022-01-15,2022-01-07,
TXN-202202-002570,2022-02-01,AC-LP-0222,WL-01185,LP-0222,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-02-15,2022-02-06,
TXN-202202-002571,2022-02-01,AC-LP-0222,WL-01185,LP-0222,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,22.21,2.85,25.06,PAID,2022-02-15,2022-02-06,metered
TXN-202202-003666,2022-02-01,AC-LP-0322,WL-01554,LP-0322,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,58,1,58,9.85,571.3,73.35,644.65,PAID,2022-02-15,2022-02-13,
TXN-202202-003667,2022-02-01,AC-LP-0322,WL-01554,LP-0322,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,71.31,9.16,80.47,PAID,2022-02-15,2022-02-13,metered
TXN-202202-004771,2022-02-01,AC-LP-0419,WL-02926,LP-0419,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,45,1,45,9.85,443.25,56.91,500.16,PAID,2022-02-15,2022-02-10,
TXN-202202-004772,2022-02-01,AC-LP-0419,WL-02926,LP-0419,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,55.38,7.11,62.49,PAID,2022-02-15,2022-02-10,metered
TXN-202202-006675,2022-02-01,AC-LP-0605,WL-01747,LP-0605,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,51,1,51,9.85,502.35,64.5,566.85,PAID,2022-02-15,2022-02-12,
TXN-202202-006676,2022-02-01,AC-LP-0605,WL-01747,LP-0605,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,133.26,17.11,150.37,PAID,2022-02-15,2022-02-12,metered
TXN-202202-006822,2022-02-01,AC-LP-0607,WL-01378,LP-0607,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,PAID,2022-02-15,2022-02-25,
TXN-202202-006823,2022-02-01,AC-LP-0607,WL-01378,LP-0607,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,89.5,11.49,100.99,PAID,2022-02-15,2022-02-25,metreed
TXN-202202-007180,2022-02-01,AC-LP-0612,WL-01625,LP-0612,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,9.85,315.2,40.47,355.67,PAID,2022-02-15,2022-02-03,
TXN-202202-007850,2022-02-01,AC-LP-0624,WL-02951,LP-0624,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,50,1,50,9.85,492.5,63.24,555.74,PAID,2022-02-15,2022-02-09,
TXN-202202-008153,2022-02-01,AC-LP-0704,WL-02092,LP-0704,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,53,1,53,9.85,522.05,67.03,589.08,PAID,2022-02-15,2022-02-17,
TXN-202202-008154,2022-02-01,AC-LP-0704,WL-02092,LP-0704,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,22.64,2.91,25.55,PAID,2022-02-15,2022-02-17,metered
TXN-202202-009920,2022-02-01,AC-LP-0812,WL-02511,LP-0812,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-02-15,2022-02-16,
TXN-202202-010080,2022-02-01,AC-LP-0814,WL-02409,LP-0814,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,35,1,35,9.85,344.75,44.27,389.02,PAID,2022-02-15,2022-02-24,
TXN-202202-010081,2022-02-01,AC-LP-0814,WL-02409,LP-0814,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,59.14,7.59,66.73,PAID,2022-02-15,2022-02-24,metered
TXN-202202-010486,2022-02-01,AC-LP-0820,WL-01109,LP-0820,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,44,1,44,9.85,433.4,55.65,489.05,PAID,2022-02-15,2022-02-08,
TXN-202202-010789,2022-02-01,AC-LP-0901,WL-02661,LP-0901,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,PAID,2022-02-15,2022-02-26,
TXN-202202-010790,2022-02-01,AC-LP-0901,WL-02661,LP-0901,Ledgport,NON_COMM_MONTHLY,ELECTRICITY,,,,,67.44,8.66,76.1,PAID,2022-02-15,2022-02-26,metered
TXN-202202-012246,2022-02-01,AC-LP-1001,WL-03184,LP-1001,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,55,1,55,9.85,541.75,69.56,611.31,PAID,2022-02-15,2022-02-18,
TXN-202202-013324,2022-02-01,AC-LP-1021,WL-02827,LP-1021,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,37,1,37,9.85,364.45,46.8,411.25,PAID,2022-02-15,2022-02-16,
TXN-202202-013936,2022-02-01,AC-LP-1109,WL-02691,LP-1109,Ledgport,NON_COMM_MONTHLY,MONTHLY_MOORAGE,30,1,30,9.85,295.5,37.94,333.44,PAID,2022-02-15,2022-02-25,
TXN-202202-014871,2022-02-01,AC-VB-0106,WL-01252,VB-0106,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,49,1,49,9.85,482.65,61.97,544.62,PAID,2022-02-15,2022-02-18,
TXN-202202-014872,2022-02-01,AC-VB-0106,WL-01252,VB-0106,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,32.29,4.15,36.44,PAID,2022-02-15,2022-02-18,metered
TXN-202202-015584,2022-02-01,AC-VB-0117,WL-01706,VB-0117,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,54,1,54,9.85,531.9,68.3,600.2,PAID,2022-02-15,2022-02-05,
TXN-202202-016904,2022-02-01,AC-VB-0215,WL-03364,VB-0215,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-02-15,2022-02-06,
TXN-202202-016905,2022-02-01,AC-VB-0215,WL-03364,VB-0215,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,45.76,5.88,51.64,PAID,2022-02-15,2022-02-06,metered
TXN-202202-017367,2022-02-01,AC-VB-0223,WL-02078,VB-0223,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,9.85,315.2,40.47,355.67,PAID,2022-02-15,2022-02-06,
TXN-202202-018321,2022-02-01,AC-VB-0318,WL-02255,VB-0318,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,9.85,315.2,40.47,355.67,PAID,2022-02-15,2022-02-13,
TXN-202202-018322,2022-02-01,AC-VB-0318,WL-02255,VB-0318,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,80.23,10.3,90.53,PAID,2022-02-15,2022-02-13,metered
TXN-202202-019871,2022-02-01,AC-VB-0419,WL-03884,VB-0419,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,33,1,33,9.85,325.05,41.74,366.79,PAID,2022-02-15,2022-02-04,
TXN-202202-019872,2022-02-01,AC-VB-0419,WL-03884,VB-0419,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,105.06,13.49,118.55,PAID,2022-02-15,2022-02-04,metered
TXN-202202-019951,2022-02-01,AC-VB-0420,WL-01215,VB-0420,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-02-15,2022-02-05,
TXN-202202-019952,2022-02-01,AC-VB-0420,WL-01215,VB-0420,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,18.28,2.35,20.63,PAID,2022-02-15,2022-02-05,metered
TXN-202202-021443,2022-02-01,AC-VB-0524,WL-02787,VB-0524,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-02-15,2022-02-14,
TXN-202202-021444,2022-02-01,AC-VB-0524,WL-02787,VB-0524,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,38.31,4.92,43.23,PAID,2022-02-15,2022-02-14,metered
TXN-202202-021753,2022-02-01,AC-VB-0606,WL-02404,VB-0606,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,45,1,45,9.85,443.25,56.91,500.16,PAID,2022-02-15,2022-02-21,
TXN-202202-021837,2022-02-01,AC-VB-0607,WL-01590,VB-0607,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-02-15,2022-02-03,
TXN-202202-021838,2022-02-01,AC-VB-0607,WL-01590,VB-0607,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,28.0,3.6,31.6,PAID,2022-02-15,2022-02-03,metered
TXN-202202-021981,2022-02-01,AC-VB-0610,WL-03058,VB-0610,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,60,1,60,9.85,591.0,75.88,666.88,OPEN,2022-02-15,,
TXN-202202-021982,2022-02-01,AC-VB-0610,WL-03058,VB-0610,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,25.35,3.25,28.6,OPEN,2022-02-15,,metered
TXN-202202-022847,2022-02-01,AC-VB-0624,WL-03304,VB-0624,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,PAID,2022-02-15,2022-02-26,
TXN-202202-023970,2022-02-01,AC-VB-0718,WL-02670,VB-0718,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-02-15,2022-02-19,
TXN-202202-024056,2022-02-01,AC-VB-0719,WL-01748,VB-0719,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,9.85,315.2,40.47,355.67,PAID,2022-02-15,2022-02-22,
TXN-202202-024057,2022-02-01,AC-VB-0719,WL-01748,VB-0719,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,78.27,10.05,88.32,PAID,2022-02-15,2022-02-22,metered
TXN-202202-025518,2022-02-01,AC-VB-0820,WL-01842,VB-0820,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,PAID,2022-02-15,2022-02-06,
TXN-202202-025519,2022-02-01,AC-VB-0820,WL-01842,VB-0820,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,111.05,14.26,125.31,PAID,2022-02-15,2022-02-06,metered
TXN-202202-025781,2022-02-01,AC-VB-0901,WL-02650,VB-0901,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,47,1,47,9.85,462.95,59.44,522.39,PAID,2022-02-15,2022-02-10,
TXN-202202-025975,2022-02-01,AC-VB-0904,WL-02354,VB-0904,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,57,1,57,9.85,561.45,72.09,633.54,PAID,2022-02-15,2022-02-19,
TXN-202202-025976,2022-02-01,AC-VB-0904,WL-02354,VB-0904,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,139.06,17.86,156.92,PAID,2022-02-15,2022-02-19,metered
TXN-202202-026585,2022-02-01,AC-VB-0914,WL-02950,VB-0914,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,28,1,28,9.85,275.8,35.41,311.21,PAID,2022-02-15,2022-02-27,
TXN-202202-026586,2022-02-01,AC-VB-0914,WL-02950,VB-0914,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,53.59,6.88,60.47,PAID,2022-02-15,2022-02-27,metered
TXN-202202-026844,2022-02-01,AC-VB-0918,WL-03033,VB-0918,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-02-15,2022-02-11,
TXN-202202-027654,2022-02-01,AC-VB-1010,WL-03077,VB-1010,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,49,1,49,9.85,482.65,61.97,544.62,PAID,2022-02-15,2022-02-12,
TXN-202202-027655,2022-02-01,AC-VB-1010,WL-03077,VB-1010,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,116.57,14.97,131.54,PAID,2022-02-15,2022-02-12,metered
TXN-202202-027913,2022-02-01,AC-VB-1014,WL-02188,VB-1014,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,9.85,354.6,45.53,400.13,PAID,2022-02-15,2022-02-22,
TXN-202202-027914,2022-02-01,AC-VB-1014,WL-02188,VB-1014,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,67.35,8.65,76.0,PAID,2022-02-15,2022-02-22,metered
TXN-202202-028296,2022-02-01,AC-VB-1020,WL-02112,VB-1020,Vessbank,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,9.85,394.0,50.59,444.59,PAID,2022-02-15,2022-02-14,
TXN-202202-028297,2022-02-01,AC-VB-1020,WL-02112,VB-1020,Vessbank,NON_COMM_MONTHLY,ELECTRICITY,,,,,101.25,13.0,114.25,PAID,2022-02-15,2022-02-14,metered
TXN-202202-028898,2022-02-01,AC-EW-0106,WL-03380,EW-0106,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,48,1,48,7.1,340.8,43.76,384.56,PAID,2022-02-15,2022-02-11,
TXN-202202-029247,2022-02-01,AC-EW-0111,WL-01617,EW-0111,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,44,1,44,7.1,312.4,40.11,352.51,PAID,2022-02-15,2022-02-21,
TXN-202202-029248,2022-02-01,AC-EW-0111,WL-01617,EW-0111,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,125.74,16.15,141.89,PAID,2022-02-15,2022-02-21,mteered
TXN-202202-030306,2022-02-01,AC-EW-0204,WL-01545,EW-0204,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,40,1,40,7.1,284.0,36.47,320.47,PAID,2022-02-15,2022-02-25,
TXN-202202-030307,2022-02-01,AC-EW-0204,WL-01545,EW-0204,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,117.88,15.14,133.02,PAID,2022-02-15,2022-02-25,metered
TXN-202202-030584,2022-02-01,AC-EW-0209,WL-02673,EW-0209,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,36,1,36,7.1,255.6,32.82,288.42,PAID,2022-02-15,2022-02-16,
TXN-202202-030796,2022-02-01,AC-EW-0212,WL-01589,EW-0212,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,7.1,227.2,29.17,256.37,PAID,2022-02-15,2022-02-10,
TXN-202202-030923,2022-02-01,AC-EW-0215,WL-03669,EW-0215,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,32,1,32,7.1,227.2,29.17,256.37,PAID,2022-02-15,2022-02-19,
TXN-202202-031758,2022-02-01,AC-EW-0307,WL-01183,EW-0307,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,70,1,70,7.1,497.0,63.81,560.81,PAID,2022-02-15,2022-02-20,
TXN-202202-033168,2022-02-01,AC-EW-0409,WL-01264,EW-0409,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,70,1,70,7.1,497.0,63.81,560.81,PAID,2022-02-15,2022-02-03,
TXN-202202-033169,2022-02-01,AC-EW-0409,WL-01264,EW-0409,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,20.13,2.58,22.71,PAID,2022-02-15,2022-02-03,metered
TXN-202202-034167,2022-02-01,AC-EW-0504,WL-02218,EW-0504,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,55,1,55,7.1,390.5,50.14,440.64,PAID,2022-02-15,2022-02-05,
TXN-202202-034376,2022-02-01,AC-EW-0507,WL-02869,EW-0507,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,70,1,70,7.1,497.0,63.81,560.81,PAID,2022-02-15,2022-02-03,
TXN-202202-034377,2022-02-01,AC-EW-0507,WL-02869,EW-0507,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,45.29,5.82,51.11,PAID,2022-02-15,2022-02-03,metered
TXN-202202-034627,2022-02-01,AC-EW-0512,WL-02879,EW-0512,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,60,1,60,7.1,426.0,54.7,480.7,PAID,2022-02-15,2022-02-11,
TXN-202202-035022,2022-02-01,AC-EW-0518,WL-01433,EW-0518,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,50,1,50,7.1,355.0,45.58,400.58,PAID,2022-02-15,2022-02-27,
TXN-202202-035102,2022-02-01,AC-EW-0519,WL-01765,EW-0519,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,54,1,54,7.1,383.4,49.23,432.63,PAID,2022-02-15,2022-02-09,
TXN-202202-035103,2022-02-01,AC-EW-0519,WL-01765,EW-0519,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,20.39,2.62,23.01,PAID,2022-02-15,2022-02-09,metered
TXN-202202-035350,2022-02-01,AC-EW-0523,WL-01972,EW-0523,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,58,1,58,7.1,411.8,52.88,464.68,PAID,2022-02-15,2022-02-22,
TXN-202202-035351,2022-02-01,AC-EW-0523,WL-01972,EW-0523,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,30.8,3.95,34.75,PAID,2022-02-15,2022-02-22,metered
TXN-202202-036134,2022-02-01,AC-EW-0614,WL-02310,EW-0614,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,53,1,53,7.1,376.3,48.32,424.62,PAID,2022-02-15,2022-02-26,
TXN-202202-036765,2022-02-01,AC-EW-0703,WL-01158,EW-0703,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,52,1,52,7.1,369.2,47.41,416.61,PAID,2022-02-15,2022-02-12,
TXN-202202-040960,2022-02-01,AC-EW-1011,WL-03465,EW-1011,Eastwey,NON_COMM_MONTHLY,MONTHLY_MOORAGE,41,1,41,7.1,291.1,37.38,328.48,PAID,2022-02-15,2022-02-22,
TXN-202202-040961,2022-02-01,AC-EW-1011,WL-03465,EW-1011,Eastwey,NON_COMM_MONTHLY,ELECTRICITY,,,,,82.45,10.59,93.04,PAID,2022-02-15,2022-02-22,metered
