amendment_id,amendment_ts,applicant_id,field_code,field_label,old_value,new_value,workstation_id,source_document,requires_cert,counter_log_ref,notes
AMD-000033,2022-01-26,WL-01737,VESSEL_NAME,Vessel Name,OTTER REACH,HALIBUT REACH,HB-COUNTER-2,,N,day log 2022-01-26,
AMD-000034,2022-01-27,WL-01169,OWNER_NAME,Owner Name,POWER_INBOARD,SAIL_MULTI,HB-COUNTER-2,insurance decl page,N,day log 2022-01-27,
AMD-000035,2022-01-28,WL-02302,BUILD_LOCATION,Build Location / Yard,FOAM_CORE,POWER_OUTBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2022-01-28,
AMD-000036,2022-01-28,WL-01515,HULL_MATERIAL,Hull Material,POWER_OUTBOARD,FIBERGLASS,HB-COUNTER-2,driver's license,N,day log 2022-01-28,
AMD-000037,2022-01-28,WL-01863,GROSS_TONNAGE,Gross Tonnage (GT),27.4,27.8,HB-COUNTER-2,,Y,day log 2022-01-28,
AMD-000038,2022-01-29,WL-02195,BUILD_LOCATION,Build Location / Yard,POWER_OUTBOARD,SAIL_MONO,HB-COUNTER-2,,N,day log 2022-01-29,
AMD-000039,2022-01-29,WL-01740,GROSS_TONNAGE,Gross Tonnage (GT),22.1,22.4,HB-COUNTER-2,,Y,day log 2022-01-29,
AMD-000040,2022-01-29,WL-03151,LOA,Length Overall (LOA),23.8,26.7,HB-COUNTER-2,,Y,day log 2022-01-29,
AMD-000041,2022-01-30,WL-01317,VESSEL_NAME,Vessel Name,POINT CREST,DRIFT LIGHT,HB-COUNTER-2,driver's license,N,day log 2022-01-30,
AMD-000042,2022-01-30,WL-02016,PROPULSION_TYPE,Propulsion Type,POWER_OUTBOARD,FIBERGLASS,HB-COUNTER-2,driver's license,N,day log 2022-01-30,
AMD-000043,2022-01-30,WL-02153,OFFICIAL_NUM,Official Number / Registration,617153,442398,HB-COUNTER-2,owner declaration at counter,N,day log 2022-01-30,
AMD-000044,2022-01-31,WL-01637,NET_TONNAGE,Net Tonnage (NT),13.3,13.0,HB-COUNTER-2,,Y,day log 2022-01-31,
AMD-000045,2022-02-01,WL-03689,OWNER_NAME,Owner Name,CRUISER,SAIL_MONO,HB-COUNTER-2,owner declaration at counter,N,day log 2022-02-01,
AMD-000046,2022-02-01,WL-02856,ENGINE_HP,Engine Horsepower,330,85,HB-COUNTER-2,registration,N,day log 2022-02-01,
AMD-000047,2022-02-04,WL-03315,GROSS_TONNAGE,Gross Tonnage (GT),22.6,22.9,HB-COUNTER-2,,Y,day log 2022-02-04,
AMD-000048,2022-02-04,WL-02145,YEAR_BUILT,Year Built,1991,1991,HB-COUNTER-2,driver's license,N,day log 2022-02-04,
AMD-000049,2022-02-05,WL-02339,VESSEL_TYPE,Vessel Type,SPORTFISH,POWER_INBOARD,HB-COUNTER-2,driver's license,N,day log 2022-02-05,
AMD-000050,2022-02-07,WL-01732,ENGINE_MAKE,Engine Make / Model,CRUISER,POWER_OUTBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2022-02-07,
AMD-000051,2022-02-08,WL-01167,VESSEL_NAME,Vessel Name,SPINDRIFT LIGHT,FOUL QUEEN,HB-COUNTER-2,driver's license,N,day log 2022-02-08,
AMD-000052,2022-02-08,WL-01853,YEAR_BUILT,Year Built,1993,1993,HB-COUNTER-2,bill of sale,N,day log 2022-02-08,
AMD-000053,2022-02-09,WL-02320,YEAR_BUILT,Year Built,1977,1977,HB-COUNTER-2,owner declaration at counter,N,day log 2022-02-09,
AMD-000054,2022-02-09,WL-01716,VESSEL_NAME,Vessel Name,SEAL REACH,POINT QUEEN,HB-COUNTER-2,,N,day log 2022-02-09,
AMD-000055,2022-02-10,WL-01064,VESSEL_TYPE,Vessel Type,POWER_INBOARD,SAIL_MONO,HB-COUNTER-2,owner declaration at counter,N,day log 2022-02-10,
AMD-000056,2022-02-10,WL-03526,NET_TONNAGE,Net Tonnage (NT),18.6,19.3,HB-COUNTER-2,check-in measurement 2022-02-10,Y,day log 2022-02-10,
AMD-000057,2022-02-15,WL-02020,VESSEL_NAME,Vessel Name,COHO ROCK,OTTER WEATHER,HB-COUNTER-2,driver's license,N,day log 2022-02-15,
AMD-000058,2022-02-15,WL-01499,BUILD_LOCATION,Build Location / Yard,ELECTRIC,STEEL,HB-COUNTER-2,bill of sale,N,day log 2022-02-15,
AMD-000059,2022-02-15,WL-03790,GROSS_TONNAGE,Gross Tonnage (GT),21.4,22.4,HB-COUNTER-2,,Y,day log 2022-02-15,
AMD-000060,2022-02-16,WL-03663,HULL_MATERIAL,Hull Material,POWER_STERNDRIVE,POWER_STERNDRIVE,HB-COUNTER-2,bill of sale,N,day log 2022-02-16,
AMD-000061,2022-02-17,WL-03471,HULL_MATERIAL,Hull Material,POWER_INBOARD,US,HB-COUNTER-2,owner declaration at counter,N,day log 2022-02-17,
AMD-000062,2022-02-19,WL-03569,PROPULSION_TYPE,Propulsion Type,FIBERGLASS,SAIL_MULTI,HB-COUNTER-2,bill of sale,N,day log 2022-02-19,
AMD-000063,2022-02-20,WL-02166,VESSEL_NAME,Vessel Name,ANCHOR LINE,FOUL REACH,HB-COUNTER-2,insurance decl page,N,day log 2022-02-20,
AMD-000064,2022-02-21,WL-02241,GROSS_TONNAGE,Gross Tonnage (GT),31.2,29.6,HB-COUNTER-2,,Y,day log 2022-02-21,
AMD-000065,2022-02-21,WL-03189,YEAR_BUILT,Year Built,1972,1972,HB-COUNTER-2,owner declaration at counter,N,day log 2022-02-21,
AMD-000066,2022-02-21,WL-03108,NET_TONNAGE,Net Tonnage (NT),9.0,9.9,HB-COUNTER-2,,Y,day log 2022-02-21,
AMD-000067,2022-02-21,WL-02937,VESSEL_NAME,Vessel Name,MURRE SONG,SALISH STAR,HB-COUNTER-2,registration,N,day log 2022-02-21,
AMD-000068,2022-02-22,WL-01666,ENGINE_MAKE,Engine Make / Model,TRAWLER,ELECTRIC,HB-COUNTER-2,,N,day log 2022-02-22,
AMD-000069,2022-02-22,WL-02169,NET_TONNAGE,Net Tonnage (NT),39.1,39.4,HB-COUNTER-2,,Y,day log 2022-02-22,
AMD-000070,2022-02-23,WL-03037,VESSEL_NAME,Vessel Name,ANCHOR REACH,SPINDRIFT MOON,HB-COUNTER-2,,N,day log 2022-02-23,
AMD-000071,2022-02-24,WL-01381,BUILD_LOCATION,Build Location / Yard,WOOD,SPORTFISH,HB-COUNTER-2,driver's license,N,day log 2022-02-24,
AMD-000072,2022-02-25,WL-01676,BEAM,Beam (Width),12.9,12.3,HB-COUNTER-2,,Y,day log 2022-02-25,
AMD-000073,2022-02-26,WL-03235,FLAG,Flag State,POWER_OUTBOARD,CA,HB-COUNTER-2,,N,day log 2022-02-26,
AMD-000074,2022-03-01,WL-02597,OWNER_ADDRESS,Owner Address,"6911 John Mountain, Port Angeles, WA","5352 Jenna Extension, Tacoma, WA",HB-COUNTER-2,insurance decl page,N,day log 2022-03-01,
AMD-000075,2022-03-02,WL-03817,GROSS_TONNAGE,Gross Tonnage (GT),21.1,21.4,HB-COUNTER-2,check-in measurement 2022-03-02,Y,day log 2022-03-02,
AMD-000076,2022-03-03,WL-03055,OWNER_ADDRESS,Owner Address,"8103 Ball Place, Seattle, WA","1769 James Walk, Coos Bay, OR",HB-COUNTER-2,,N,day log 2022-03-03,
AMD-000077,2022-03-04,WL-02828,OWNER_ADDRESS,Owner Address,"1396 Mary Flat, Tacoma, WA","8189 Christopher Forest, Everett, WA",HB-COUNTER-2,bill of sale,N,day log 2022-03-04,
AMD-000078,2022-03-07,WL-01890,LOA,Length Overall (LOA),50.4,50.1,HB-COUNTER-2,,Y,day log 2022-03-07,
AMD-000079,2022-03-07,WL-01007,BEAM,Beam (Width),11.0,11.8,HB-COUNTER-2,,Y,day log 2022-03-07,
AMD-000080,2022-03-09,WL-01406,HULL_MATERIAL,Hull Material,FIBERGLASS,HOUSEBOAT,HB-COUNTER-2,driver's license,N,day log 2022-03-09,
AMD-000081,2022-03-09,WL-01497,VESSEL_NAME,Vessel Name,COHO LINE,PINTAIL ROSE,HB-COUNTER-2,registration,N,day log 2022-03-09,
AMD-000082,2022-03-09,WL-03447,OFFICIAL_NUM,Official Number / Registration,400578,866206,HB-COUNTER-2,driver's license,N,day log 2022-03-09,
AMD-000083,2022-03-10,WL-03285,LOA,Length Overall (LOA),53.7,54.3,HB-COUNTER-2,check-in measurement 2022-03-10,Y,day log 2022-03-10,
AMD-000084,2022-03-13,WL-03805,PROPULSION_TYPE,Propulsion Type,ALUMINUM,POWER_INBOARD,HB-COUNTER-2,registration,N,day log 2022-03-13,
AMD-000085,2022-03-14,WL-02118,VESSEL_TYPE,Vessel Type,US,WOOD,HB-COUNTER-2,registration,N,day log 2022-03-14,
AMD-000086,2022-03-14,WL-02297,ENGINE_MAKE,Engine Make / Model,HOUSEBOAT,POWER_INBOARD,HB-COUNTER-2,bill of sale,N,day log 2022-03-14,
AMD-000087,2022-03-14,WL-03628,HULL_MATERIAL,Hull Material,US,ALUMINUM,HB-COUNTER-2,bill of sale,N,day log 2022-03-14,
AMD-000088,2022-03-16,WL-01910,ENGINE_MAKE,Engine Make / Model,POWER_INBOARD,ALUMINUM,HB-COUNTER-2,registration,N,day log 2022-03-16,
AMD-000089,2022-03-17,WL-03462,LOA,Length Overall (LOA),26.4,23.6,HB-COUNTER-2,check-in measurement 2022-03-17,Y,day log 2022-03-17,
AMD-000090,2022-03-17,WL-01760,BEAM,Beam (Width),13.6,14.6,HB-COUNTER-2,check-in measurement 2022-03-17,Y,day log 2022-03-17,
AMD-000091,2022-03-17,WL-03041,PROPULSION_TYPE,Propulsion Type,POWER_INBOARD,US,HB-COUNTER-2,bill of sale,N,day log 2022-03-17,
AMD-000092,2022-03-17,WL-01443,VESSEL_NAME,Vessel Name,HALIBUT MIST,HERON MOON,HB-COUNTER-2,bill of sale,N,day log 2022-03-17,
AMD-000093,2022-03-18,WL-01376,NET_TONNAGE,Net Tonnage (NT),20.4,19.5,HB-COUNTER-2,,Y,day log 2022-03-18,
AMD-000094,2022-03-19,WL-03499,BUILD_LOCATION,Build Location / Yard,US,HOUSEBOAT,HB-COUNTER-2,,N,day log 2022-03-19,
AMD-000095,2022-03-20,WL-03349,YEAR_BUILT,Year Built,1996,1996,HB-COUNTER-2,,N,day log 2022-03-20,
AMD-000096,2022-03-20,WL-01804,GROSS_TONNAGE,Gross Tonnage (GT),31.6,32.2,HB-COUNTER-2,,Y,day log 2022-03-20,
AMD-000097,2022-03-21,WL-01264,ENGINE_HP,Engine Horsepower,210,375,HB-COUNTER-2,driver's license,N,day log 2022-03-21,
AMD-000098,2022-03-22,WL-01930,LOA,Length Overall (LOA),33.1,32.7,HB-COUNTER-2,owner declaration at counter,Y,day log 2022-03-22,
AMD-000099,2022-03-23,WL-01583,LOA,Length Overall (LOA),22.5,22.1,HB-COUNTER-2,,Y,day log 2022-03-23,
AMD-000100,2022-03-27,WL-01806,YEAR_BUILT,Year Built,1981,1981,HB-COUNTER-2,driver's license,N,day log 2022-03-27,
AMD-000101,2022-03-27,WL-01851,HIN,Hull Identification Number,CHD18215P515,CHD68902K787,HB-COUNTER-2,,N,day log 2022-03-27,
AMD-000102,2022-03-27,WL-02575,FLAG,Flag State,SAIL_MONO,POWER_OUTBOARD,HB-COUNTER-2,registration,N,day log 2022-03-27,
AMD-000103,2022-03-29,WL-03168,NET_TONNAGE,Net Tonnage (NT),15.9,16.5,HB-COUNTER-2,,Y,day log 2022-03-29,
AMD-000104,2022-03-29,WL-02458,NET_TONNAGE,Net Tonnage (NT),37.1,38.2,HB-COUNTER-2,check-in measurement 2022-03-29,Y,day log 2022-03-29,
AMD-000105,2022-03-29,WL-02153,YEAR_BUILT,Year Built,2000,2000,HB-COUNTER-2,registration,N,day log 2022-03-29,
AMD-000106,2022-03-29,WL-01666,PROPULSION_TYPE,Propulsion Type,COMMERCIAL_FISH,POWER_OUTBOARD,HB-COUNTER-2,insurance decl page,N,day log 2022-03-29,
AMD-000107,2022-03-30,WL-01361,LOA,Length Overall (LOA),28.0,29.3,HB-COUNTER-2,,Y,day log 2022-03-30,
AMD-000108,2022-03-30,WL-01373,LOA,Length Overall (LOA),29.6,30.5,HB-COUNTER-2,,Y,day log 2022-03-30,
AMD-000109,2022-03-30,WL-03531,OWNER_NAME,Owner Name,POWER_STERNDRIVE,CRUISER,HB-COUNTER-2,bill of sale,N,day log 2022-03-30,
AMD-000110,2022-03-30,WL-01539,HIN,Hull Identification Number,CHD72295L906,CHD86836H100,HB-COUNTER-2,driver's license,N,day log 2022-03-30,
AMD-000111,2022-03-31,WL-01401,YEAR_BUILT,Year Built,2001,2001,HB-COUNTER-2,bill of sale,N,day log 2022-03-31,
AMD-000112,2022-04-03,WL-02448,YEAR_BUILT,Year Built,2010,2010,HB-COUNTER-2,driver's license,N,day log 2022-04-03,
AMD-000113,2022-04-04,WL-01710,ENGINE_HP,Engine Horsepower,375,210,HB-COUNTER-2,insurance decl page,N,day log 2022-04-04,
AMD-000114,2022-04-05,WL-01345,LOA,Length Overall (LOA),32.7,30.7,HB-COUNTER-2,,Y,day log 2022-04-05,
AMD-000115,2022-04-05,WL-03893,VESSEL_NAME,Vessel Name,PETREL ROSE,PINTAIL RUNNER,HB-COUNTER-2,bill of sale,N,day log 2022-04-05,
AMD-000116,2022-04-06,WL-03119,LOA,Length Overall (LOA),23.7,24.5,HB-COUNTER-2,,Y,day log 2022-04-06,
AMD-000117,2022-04-06,WL-01556,BUILD_LOCATION,Build Location / Yard,SAIL_MULTI,SAIL_MONO,HB-COUNTER-2,,N,day log 2022-04-06,
AMD-000118,2022-04-07,WL-03167,HULL_MATERIAL,Hull Material,POWER_INBOARD,SAIL_MONO,HB-COUNTER-2,bill of sale,N,day log 2022-04-07,
AMD-000119,2022-04-07,WL-02672,OWNER_NAME,Owner Name,CA,US,HB-COUNTER-2,insurance decl page,N,day log 2022-04-07,
AMD-000120,2022-04-08,WL-02621,ENGINE_MAKE,Engine Make / Model,CRUISER,CA,HB-COUNTER-2,,N,day log 2022-04-08,
AMD-000121,2022-04-08,WL-02968,VESSEL_NAME,Vessel Name,OTTER QUEEN,OSPREY MIST,HB-COUNTER-2,insurance decl page,N,day log 2022-04-08,
AMD-000122,2022-04-09,WL-03863,NET_TONNAGE,Net Tonnage (NT),22.0,20.7,HB-COUNTER-2,,Y,day log 2022-04-09,
AMD-000123,2022-04-10,WL-01847,BUILD_LOCATION,Build Location / Yard,POWER_INBOARD,WOOD,HB-COUNTER-2,driver's license,N,day log 2022-04-10,
AMD-000124,2022-04-11,WL-03357,GROSS_TONNAGE,Gross Tonnage (GT),28.6,28.2,HB-COUNTER-2,,Y,day log 2022-04-11,
AMD-000125,2022-04-12,WL-01110,BEAM,Beam (Width),8.0,8.6,HB-COUNTER-2,,Y,day log 2022-04-12,
AMD-000126,2022-04-13,WL-01127,VESSEL_NAME,Vessel Name,WIDGEON PASSAGE,DRIFT STAR,HB-COUNTER-2,driver's license,N,day log 2022-04-13,
AMD-000127,2022-04-14,WL-01974,GROSS_TONNAGE,Gross Tonnage (GT),4.5,4.0,HB-COUNTER-2,,Y,day log 2022-04-14,
AMD-000128,2022-04-14,WL-03289,YEAR_BUILT,Year Built,1993,1993,HB-COUNTER-2,owner declaration at counter,N,day log 2022-04-14,
AMD-000129,2022-04-15,WL-01666,FLAG,Flag State,CA,CRUISER,HB-COUNTER-2,insurance decl page,N,day log 2022-04-15,
AMD-000130,2022-04-16,WL-02226,HIN,Hull Identification Number,CHD25416E434,CHD88089S164,HB-COUNTER-2,,N,day log 2022-04-16,
AMD-000131,2022-04-16,WL-01034,DRAFT,Draft (Depth),5.3,4.8,HB-COUNTER-2,,Y,day log 2022-04-16,
AMD-000132,2022-04-17,WL-01747,BUILD_LOCATION,Build Location / Yard,CRUISER,FIBERGLASS,HB-COUNTER-2,owner declaration at counter,N,day log 2022-04-17,
AMD-000133,2022-04-17,WL-02800,VESSEL_TYPE,Vessel Type,SPORTFISH,FIBERGLASS,HB-COUNTER-2,bill of sale,N,day log 2022-04-17,
AMD-000134,2022-04-17,WL-01980,FLAG,Flag State,SAIL_MONO,CRUISER,HB-COUNTER-2,driver's license,N,day log 2022-04-17,
AMD-000135,2022-04-18,WL-03456,HULL_MATERIAL,Hull Material,POWER_INBOARD,POWER_INBOARD,HB-COUNTER-2,bill of sale,N,day log 2022-04-18,
AMD-000136,2022-04-20,WL-02755,ENGINE_MAKE,Engine Make / Model,SAIL_MONO,FIBERGLASS,HB-COUNTER-2,registration,N,day log 2022-04-20,
AMD-000137,2022-04-20,WL-03338,ENGINE_HP,Engine Horsepower,110,375,HB-COUNTER-2,insurance decl page,N,day log 2022-04-20,
AMD-000138,2022-04-22,WL-02099,FLAG,Flag State,US,ALUMINUM,HB-COUNTER-2,owner declaration at counter,N,day log 2022-04-22,
AMD-000139,2022-04-22,WL-02009,HULL_MATERIAL,Hull Material,CA,FIBERGLASS,HB-COUNTER-2,,N,day log 2022-04-22,
AMD-000140,2022-04-24,WL-03016,FLAG,Flag State,SPORTFISH,FIBERGLASS,HB-COUNTER-2,insurance decl page,N,day log 2022-04-24,
AMD-000141,2022-04-24,WL-02661,FLAG,Flag State,US,POWER_STERNDRIVE,HB-COUNTER-2,insurance decl page,N,day log 2022-04-24,
AMD-000142,2022-04-24,WL-03381,VESSEL_TYPE,Vessel Type,HOUSEBOAT,FOAM_CORE,HB-COUNTER-2,,N,day log 2022-04-24,
AMD-000143,2022-04-26,WL-01008,GROSS_TONNAGE,Gross Tonnage (GT),31.3,31.5,HB-COUNTER-2,,Y,day log 2022-04-26,
AMD-000144,2022-04-27,WL-01274,VESSEL_NAME,Vessel Name,SABLE SOUND,MURRE ANN,HB-COUNTER-2,bill of sale,N,day log 2022-04-27,
AMD-000145,2022-04-27,WL-02524,ENGINE_MAKE,Engine Make / Model,FOAM_CORE,POWER_OUTBOARD,HB-COUNTER-2,registration,N,day log 2022-04-27,
AMD-000146,2022-04-28,WL-03363,YEAR_BUILT,Year Built,1984,1984,HB-COUNTER-2,,N,day log 2022-04-28,
AMD-000147,2022-04-28,WL-02520,LOA,Length Overall (LOA),41.6,44.5,HB-COUNTER-2,,Y,day log 2022-04-28,
AMD-000148,2022-04-29,WL-01430,OFFICIAL_NUM,Official Number / Registration,817868,767969,HB-COUNTER-2,driver's license,N,day log 2022-04-29,
AMD-000149,2022-04-30,WL-03748,LOA,Length Overall (LOA),41.1,43.9,HB-COUNTER-2,,Y,day log 2022-04-30,
AMD-000150,2022-04-30,WL-02588,OFFICIAL_NUM,Official Number / Registration,723218,590811,HB-COUNTER-2,owner declaration at counter,N,day log 2022-04-30,
AMD-000151,2022-05-01,WL-02361,BEAM,Beam (Width),8.3,8.4,HB-COUNTER-2,,Y,day log 2022-05-01,
AMD-000152,2022-05-03,WL-02237,VESSEL_NAME,Vessel Name,SABLE RUNNER,POINT CREST,HB-COUNTER-2,bill of sale,N,day log 2022-05-03,
AMD-000153,2022-05-04,WL-02274,HULL_MATERIAL,Hull Material,POWER_INBOARD,COMMERCIAL_FISH,HB-COUNTER-2,bill of sale,N,day log 2022-05-04,
AMD-000154,2022-05-04,WL-02449,BUILD_LOCATION,Build Location / Yard,POWER_STERNDRIVE,ELECTRIC,HB-COUNTER-2,registration,N,day log 2022-05-04,
AMD-000155,2022-05-06,WL-02178,BUILD_LOCATION,Build Location / Yard,WOOD,POWER_STERNDRIVE,HB-COUNTER-2,driver's license,N,day log 2022-05-06,
AMD-000156,2022-05-07,WL-03371,DRAFT,Draft (Depth),2.2,2.6,HB-COUNTER-2,,Y,day log 2022-05-07,
AMD-000157,2022-05-07,WL-01760,LOA,Length Overall (LOA),41.2,40.9,HB-COUNTER-2,,Y,day log 2022-05-07,
AMD-000158,2022-05-08,WL-01572,VESSEL_NAME,Vessel Name,HALIBUT BAY,HALIBUT REACH,HB-COUNTER-2,owner declaration at counter,N,day log 2022-05-08,
AMD-000159,2022-05-08,WL-03691,LOA,Length Overall (LOA),38.0,35.8,HB-COUNTER-2,,Y,day log 2022-05-08,
AMD-000160,2022-05-08,WL-03032,LOA,Length Overall (LOA),40.9,41.6,HB-COUNTER-2,,Y,day log 2022-05-08,
AMD-000161,2022-05-08,WL-01928,OWNER_NAME,Owner Name,WOOD,US,HB-COUNTER-2,bill of sale,N,day log 2022-05-08,
AMD-000162,2022-05-08,WL-03358,LOA,Length Overall (LOA),44.9,44.3,HB-COUNTER-2,,Y,day log 2022-05-08,
AMD-000163,2022-05-10,WL-01992,OWNER_NAME,Owner Name,COMMERCIAL_FISH,FIBERGLASS,HB-COUNTER-2,insurance decl page,N,day log 2022-05-10,
AMD-000164,2022-05-10,WL-03585,DRAFT,Draft (Depth),3.5,3.5,HB-COUNTER-2,,Y,day log 2022-05-10,
AMD-000165,2022-05-11,WL-02081,OWNER_ADDRESS,Owner Address,"6782 Joseph Drives, Olympia, WA","5527 Nicole Union, Port Angeles, WA",HB-COUNTER-2,bill of sale,N,day log 2022-05-11,
AMD-000166,2022-05-11,WL-02937,NET_TONNAGE,Net Tonnage (NT),16.0,14.3,HB-COUNTER-2,,Y,day log 2022-05-11,
AMD-000167,2022-05-12,WL-01993,LOA,Length Overall (LOA),36.7,35.3,HB-COUNTER-2,,Y,day log 2022-05-12,
AMD-000168,2022-05-12,WL-01844,PROPULSION_TYPE,Propulsion Type,FOAM_CORE,SAIL_MONO,HB-COUNTER-2,driver's license,N,day log 2022-05-12,
AMD-000169,2022-05-12,WL-02241,BUILD_LOCATION,Build Location / Yard,TRAWLER,STEEL,HB-COUNTER-2,insurance decl page,N,day log 2022-05-12,
AMD-000170,2022-05-13,WL-01854,PROPULSION_TYPE,Propulsion Type,HOUSEBOAT,SAIL_MONO,HB-COUNTER-2,owner declaration at counter,N,day log 2022-05-13,
AMD-000171,2022-05-15,WL-02127,PROPULSION_TYPE,Propulsion Type,STEEL,WOOD,HB-COUNTER-2,,N,day log 2022-05-15,
AMD-000172,2022-05-15,WL-03350,ENGINE_HP,Engine Horsepower,375,110,HB-COUNTER-2,insurance decl page,N,day log 2022-05-15,
AMD-000173,2022-05-15,WL-03240,VESSEL_TYPE,Vessel Type,COMMERCIAL_FISH,WOOD,HB-COUNTER-2,registration,N,day log 2022-05-15,
AMD-000174,2022-05-15,WL-01296,VESSEL_TYPE,Vessel Type,FIBERGLASS,POWER_OUTBOARD,HB-COUNTER-2,registration,N,day log 2022-05-15,
AMD-000175,2022-05-16,WL-03144,PROPULSION_TYPE,Propulsion Type,POWER_INBOARD,POWER_STERNDRIVE,HB-COUNTER-2,registration,N,day log 2022-05-16,
AMD-000176,2022-05-16,WL-01052,VESSEL_NAME,Vessel Name,SANDERLING ROCK,TIDE HARBOR,HB-COUNTER-2,registration,N,day log 2022-05-16,
