Date,Time,Site,Free Chlorine (ppm),pH,Combined Chlorine (ppm),Cyanuric Acid (ppm),Total Alkalinity (ppm),Water Temp (F),Air Temp (F),Weather,Tested By,Action Taken,Notes
2026-07-29,7:00 AM,Tamarack Ridge,3.5,7.4,0.3,32.0,109.0,84.0,83.0,Clear,D.L.,"High FC after shock; area held, retest within 2 hrs.",
2026-07-29,12:30 PM,Tamarack Ridge,1.8,7.5,0.2,50.0,93.0,73.0,66.0,Overcast,C.Y.,,
2026-07-30,7:00 AM,Tamarack Ridge,3.4,7.2,0.3,46.0,90.0,82.0,77.0,Clear,R.W.,,
2026-07-30,12:30 PM,Tamarack Ridge,2.8,7.6,0.0,41.0,113.0,75.0,67.0,Clear,A.P.,,Filter backwashed.
2026-07-31,7:00 AM,Tamarack Ridge,3.4,7.4,0.1,39.0,89.0,72.0,83.0,Overcast,A.P.,,Rain overnight.
2026-07-31,12:30 PM,Tamarack Ridge,2.4,7.8,0.1,49.0,80.0,73.0,77.0,Overcast,J.K.,,
2026-08-01,7:00 AM,Tamarack Ridge,2.4,7.5,0.1,37.0,99.0,75.0,88.0,Overcast,D.L.,,Heavy bather load.
2026-08-01,12:30 PM,Tamarack Ridge,2.7,7.4,0.3,43.0,97.0,74.0,71.0,Clear,C.Y.,,Rain overnight.
2026-08-03,7:00 AM,Tamarack Ridge,2.8,7.2,0.1,32.0,106.0,77.0,87.0,Rain,R.W.,,Heavy bather load.
2026-08-03,12:30 PM,Tamarack Ridge,1.6,7.7,0.1,34.0,102.0,81.0,69.0,Overcast,R.W.,,
2026-08-04,7:00 AM,Tamarack Ridge,1.4,7.7,0.1,31.0,97.0,76.0,73.0,Clear,J.K.,,
2026-08-04,12:30 PM,Tamarack Ridge,3.1,7.6,0.3,43.0,106.0,80.0,70.0,Clear,R.W.,,Rain overnight.
2026-08-05,7:00 AM,Tamarack Ridge,2.2,7.3,0.1,39.0,97.0,84.0,84.0,Overcast,C.Y.,,
2026-08-05,12:30 PM,Tamarack Ridge,1.3,7.7,0.1,50.0,111.0,82.0,71.0,Clear,A.P.,Fed sodium hypochlorite 0.5 gal; retest 30 min.,
2026-08-06,7:00 AM,Tamarack Ridge,2.6,7.3,0.1,32.0,91.0,78.0,82.0,Clear,D.L.,,
2026-08-06,12:30 PM,Tamarack Ridge,3.5,7.3,0.2,31.0,108.0,79.0,75.0,Clear,J.K.,"High FC after shock; area held, retest within 2 hrs.",Filter backwashed.
2026-08-07,7:00 AM,Tamarack Ridge,2.2,7.3,0.3,42.0,104.0,75.0,85.0,Rain,M.D.,,
2026-08-07,12:30 PM,Tamarack Ridge,2.6,7.8,0.1,50.0,100.0,73.0,89.0,Clear,M.D.,,Heavy bather load.
2026-08-08,7:00 AM,Tamarack Ridge,2.9,7.7,0.0,49.0,83.0,83.0,71.0,Clear,R.W.,,
2026-08-08,12:30 PM,Tamarack Ridge,2.4,7.4,0.1,44.0,95.0,82.0,92.0,Clear,J.K.,,Heavy bather load.
2026-08-10,7:00 AM,Tamarack Ridge,1.3,7.3,0.2,42.0,117.0,78.0,90.0,Clear,A.P.,Fed sodium hypochlorite 0.5 gal; retest 30 min.,Filter backwashed.
2026-08-10,12:30 PM,Tamarack Ridge,2.6,7.3,0.0,40.0,85.0,80.0,94.0,Overcast,R.W.,,
2026-08-11,7:00 AM,Tamarack Ridge,1.6,7.6,0.0,36.0,88.0,79.0,80.0,Rain,R.W.,,Rain overnigth.
2026-08-11,12:30 PM,Tamarack Ridge,3.5,7.4,0.2,40.0,87.0,75.0,68.0,Clear,A.P.,"High FC after shock; area held, retest within 2 hrs.",
2026-08-12,7:00 AM,Tamarack Ridge,2.5,7.7,0.1,31.0,80.0,81.0,78.0,Clear,C.Y.,,
2026-08-12,12:30 PM,Tamarack Ridge,2.0,7.7,0.1,50.0,94.0,81.0,81.0,Rain,C.Y.,,
2026-08-13,7:00 AM,Tamarack Ridge,3.6,7.4,0.2,37.0,120.0,84.0,78.0,Clear,J.K.,"High FC after shock; area held, retest within 2 hrs.",
2026-08-13,12:30 PM,Tamarack Ridge,2.0,7.4,0.2,40.0,105.0,78.0,74.0,Clear,J.K.,,Filter backwashed.
2026-08-14,7:00 AM,Tamarack Ridge,1.3,7.4,0.1,31.0,104.0,80.0,66.0,Overcast,J.K.,Fed sodium hypochlorite 0.5 gal; retest 30 min.,Heavy bather load.
2026-08-14,12:30 PM,Tamarack Ridge,3.3,7.3,0.2,40.0,115.0,79.0,73.0,Clear,D.L.,,Heavy bather load.
